epoch,step,train/av2/brier_fde,train/av2/minADE6,train/av2/minFDE6,train/av2/miss_rate,train/brier_fde,train/minADE6,train/minFDE6,train/miss_rate,train/nuscenes/brier_fde,train/nuscenes/minADE6,train/nuscenes/minFDE6,train/nuscenes/miss_rate,train/waymo/brier_fde,train/waymo/minADE6,train/waymo/minFDE6,train/waymo/miss_rate,val/av2/brier_fde,val/av2/minADE6,val/av2/minFDE6,val/av2/miss_rate,val/brier_fde,val/minADE6,val/minFDE6,val/miss_rate,val/nuscenes/brier_fde,val/nuscenes/minADE6,val/nuscenes/minFDE6,val/nuscenes/miss_rate,val/waymo/brier_fde,val/waymo/minADE6,val/waymo/minFDE6,val/waymo/miss_rate
0,7,,,,,,,,,,,,,,,,,36.62104415893555,16.89718246459961,35.787723541259766,0.9522672891616821,39.14168167114258,18.0251407623291,38.308345794677734,0.9621999859809875,33.11793518066406,15.158586502075195,32.28459548950195,0.9722222089767456,39.47209930419922,18.17572784423828,38.638763427734375,0.9629629850387573
0,7,39.240699768066406,18.360233306884766,38.40718078613281,1.0,43.07527160644531,20.734281539916992,42.241397857666016,0.9919999837875366,47.2217903137207,23.037471771240234,46.397865295410156,1.0,43.30525588989258,20.881298065185547,42.4711799621582,0.9912280440330505,,,,,,,,,,,,,,,,
1,15,,,,,,,,,,,,,,,,,32.552284240722656,15.213479042053223,31.718950271606445,0.9618138670921326,34.7843132019043,15.896065711975098,33.950984954833984,0.9661999940872192,27.477882385253906,12.523396492004395,26.644542694091797,0.9583333134651184,35.10839080810547,16.01334571838379,34.275062561035156,0.9667332172393799
1,15,34.68576431274414,15.752066612243652,33.854522705078125,1.0,38.62369155883789,17.47151756286621,37.79034423828125,0.9760000109672546,43.67182922363281,19.769962310791016,42.83623504638672,1.0,38.84601593017578,17.566940307617188,38.01254653930664,0.9736841917037964,,,,,,,,,,,,,,,,
2,23,,,,,,,,,,,,,,,,,30.08194923400879,15.211605072021484,29.248607635498047,0.9713603854179382,32.246463775634766,15.753412246704102,31.41314125061035,0.9692000150680542,24.0916805267334,12.270423889160156,23.258342742919922,0.9027777910232544,32.57782745361328,15.859379768371582,31.74448585510254,0.970059871673584
2,23,30.66399383544922,14.88949966430664,29.83390998840332,1.0,34.7610969543457,16.085800170898438,33.92774963378906,0.9760000109672546,37.593299865722656,15.776330947875977,36.77436065673828,1.0,35.03487014770508,16.185672760009766,34.20100402832031,0.9736841917037964,,,,,,,,,,,,,,,,
3,31,,,,,,,,,,,,,,,,,29.732114791870117,15.332295417785645,28.898775100708008,0.9713603854179382,31.876420974731445,15.828879356384277,31.0430850982666,0.9711999893188477,23.66979217529297,12.40291976928711,22.836442947387695,0.9305555820465088,32.20673751831055,15.929725646972656,31.373401641845703,0.971834123134613
3,31,29.630035400390625,15.097675323486328,28.80086898803711,0.8888888955116272,33.47172927856445,15.908445358276367,32.63933563232422,0.9520000219345093,33.80017852783203,14.104774475097656,32.96095657348633,1.0,33.76926040649414,16.00409698486328,32.936729431152344,0.9561403393745422,,,,,,,,,,,,,,,,
4,39,,,,,,,,,,,,,,,,,29.823732376098633,14.986139297485352,28.99037742614746,0.9737470149993896,32.05571746826172,15.519416809082031,31.222352981567383,0.9679999947547913,24.060871124267578,12.121227264404297,23.227510452270508,0.9166666865348816,32.39078140258789,15.623234748840332,31.55742645263672,0.9682856798171997
4,39,29.26850128173828,15.14454174041748,28.437726974487305,0.8888888955116272,33.0338249206543,15.890174865722656,32.20024490356445,0.9440000057220459,32.59927749633789,13.691522598266602,31.756559371948242,1.0,33.338706970214844,15.987613677978516,32.50506591796875,0.9473684430122375,,,,,,,,,,,,,,,,
5,47,,,,,,,,,,,,,,,,,29.364818572998047,14.595457077026367,28.531469345092773,0.9713603854179382,31.722837448120117,15.244784355163574,30.889480590820312,0.9667999744415283,23.864906311035156,11.857333183288574,23.031545639038086,0.9166666865348816,32.06740951538086,15.359217643737793,31.234081268310547,0.9671767354011536
5,47,28.86724090576172,14.636378288269043,28.033414840698242,0.8888888955116272,33.123863220214844,15.555947303771973,32.290260314941406,0.9520000219345093,33.18577575683594,13.892172813415527,32.3507194519043,1.0,33.45882797241211,15.657733917236328,32.625267028808594,0.9561403393745422,,,,,,,,,,,,,,,,
6,55,,,,,,,,,,,,,,,,,29.48073959350586,14.325976371765137,28.64740562438965,0.9761336445808411,31.975053787231445,15.002342224121094,31.141721725463867,0.9674000144004822,24.44483757019043,11.760112762451172,23.611473083496094,0.9305555820465088,32.32708740234375,15.116965293884277,31.493741989135742,0.9671767354011536
6,55,28.87358856201172,14.15932846069336,28.036710739135742,0.8888888955116272,33.412818908691406,15.287967681884766,32.57923126220703,0.9440000057220459,33.131553649902344,13.778726577758789,32.30400848388672,1.0,33.776119232177734,15.403548240661621,32.94268035888672,0.9473684430122375,,,,,,,,,,,,,,,,
7,63,,,,,,,,,,,,,,,,,28.645174026489258,14.007739067077637,27.81182861328125,0.9689737558364868,31.399322509765625,14.797728538513184,30.56597137451172,0.9679999947547913,23.852901458740234,11.581396102905273,23.019508361816406,0.9166666865348816,31.775760650634766,14.922494888305664,30.94240951538086,0.9687291979789734
7,63,27.787996292114258,13.846067428588867,26.95781707763672,0.8888888955116272,32.77135467529297,15.144256591796875,31.938657760620117,0.9359999895095825,33.02009201049805,13.804529190063477,32.19682312011719,1.0,33.16041564941406,15.270248413085938,32.32735061645508,0.9385964870452881,,,,,,,,,,,,,,,,
8,71,,,,,,,,,,,,,,,,,27.879722595214844,13.585322380065918,27.046388626098633,0.9665871262550354,30.938405990600586,14.560487747192383,30.105043411254883,0.9657999873161316,23.428646087646484,11.349653244018555,22.5952205657959,0.8888888955116272,31.342548370361328,14.702371597290039,30.509201049804688,0.9669550061225891
8,71,26.369728088378906,12.918082237243652,25.536888122558594,0.8888888955116272,32.30440139770508,14.762334823608398,31.470500946044922,0.9440000057220459,31.98329734802246,13.488917350769043,31.149080276489258,1.0,32.77855682373047,14.930274963378906,31.944583892822266,0.9473684430122375,,,,,,,,,,,,,,,,
9,79,,,,,,,,,,,,,,,,,26.654043197631836,13.874711990356445,25.820697784423828,0.9737470149993896,29.877662658691406,14.91564655303955,29.044300079345703,0.9711999893188477,21.86111068725586,11.680571556091309,21.027666091918945,0.9027777910232544,30.30522346496582,15.064031600952148,29.471858978271484,0.9720559120178223
9,79,26.08674430847168,12.246316909790039,25.258827209472656,0.8888888955116272,32.369686126708984,14.56246566772461,31.535600662231445,0.9599999785423279,32.162620544433594,13.43228530883789,31.328624725341797,1.0,32.86934280395508,14.765148162841797,32.034767150878906,0.9649122953414917,,,,,,,,,,,,,,,,
10,87,,,,,,,,,,,,,,,,,26.899127960205078,13.216483116149902,26.065731048583984,0.9665871262550354,30.29833984375,14.375898361206055,29.464956283569336,0.9670000076293945,22.967077255249023,11.308826446533203,22.133590698242188,0.875,30.731290817260742,14.532617568969727,29.89789581298828,0.9685074090957642
10,87,24.737178802490234,12.521289825439453,23.90218734741211,0.8888888955116272,30.807920455932617,14.660540580749512,29.974117279052734,0.9760000109672546,27.3626766204834,12.532953262329102,26.538463592529297,1.0,31.347631454467773,14.866754531860352,30.513755798339844,0.9824561476707458,,,,,,,,,,,,,,,,
11,95,,,,,,,,,,,,,,,,,26.59933853149414,13.249578475952148,25.765958786010742,0.964200496673584,29.93906593322754,14.399550437927246,29.10565948486328,0.9656000137329102,22.54082679748535,11.353899955749512,21.707313537597656,0.875,30.367542266845703,14.555047988891602,29.53413963317871,0.9671767354011536
11,95,24.387367248535156,12.012824058532715,23.556161880493164,0.8888888955116272,30.859952926635742,14.375664710998535,30.026884078979492,0.9679999947547913,28.242332458496094,12.610803604125977,27.40522003173828,1.0,31.416872024536133,14.593168258666992,30.583723068237305,0.9736841917037964,,,,,,,,,,,,,,,,
12,103,,,,,,,,,,,,,,,,,26.546581268310547,12.977446556091309,25.713109970092773,0.9713603854179382,30.0721492767334,14.072304725646973,29.238712310791016,0.9613999724388123,22.96969223022461,11.227651596069336,22.136138916015625,0.8611111044883728,30.513168334960938,14.219467163085938,29.679752349853516,0.9620758295059204
12,103,23.980247497558594,11.520119667053223,23.147951126098633,0.7777777910232544,30.8422794342041,14.128780364990234,30.009016036987305,0.9279999732971191,28.206310272216797,12.670130729675293,27.37163543701172,1.0,31.430265426635742,14.360318183898926,30.596946716308594,0.9385964870452881,,,,,,,,,,,,,,,,
13,111,,,,,,,,,,,,,,,,,25.872560501098633,13.175239562988281,25.039159774780273,0.9737470149993896,29.33987808227539,14.292279243469238,28.506467819213867,0.9670000076293945,21.936452865600586,11.411762237548828,21.10293960571289,0.8888888955116272,29.78031349182129,14.4420804977417,28.94689178466797,0.967620313167572
13,111,23.295440673828125,11.94257926940918,22.460132598876953,0.8888888955116272,30.329273223876953,14.099322319030762,29.497167587280273,0.9520000219345093,29.028165817260742,12.723371505737305,28.198223114013672,1.0,30.907400131225586,14.293730735778809,30.07551383972168,0.9561403393745422,,,,,,,,,,,,,,,,
14,119,,,,,,,,,,,,,,,,,25.6334228515625,12.94202709197998,24.800004959106445,0.9809069037437439,29.138839721679688,14.13353443145752,28.305461883544922,0.9649999737739563,22.171875,11.338091850280762,21.338449478149414,0.9166666865348816,29.575834274291992,14.288900375366211,28.742456436157227,0.9642936587333679
14,119,23.347978591918945,11.482830047607422,22.512535095214844,0.8888888955116272,30.114864349365234,13.959451675415039,29.28233528137207,0.9520000219345093,26.763933181762695,12.429834365844727,25.935352325439453,1.0,30.707881927490234,14.181809425354004,29.875511169433594,0.9561403393745422,,,,,,,,,,,,,,,,
15,127,,,,,,,,,,,,,,,,,25.860862731933594,12.57986831665039,25.027385711669922,0.9665871262550354,29.37297248840332,13.738701820373535,28.539522171020508,0.9571999907493591,23.030784606933594,11.153107643127441,22.197269439697266,0.875,29.800600051879883,13.887673377990723,28.9671630859375,0.9576402902603149
15,127,22.369842529296875,11.407242774963379,21.533464431762695,0.8888888955116272,29.278125762939453,13.974644660949707,28.445932388305664,0.9359999895095825,25.202362060546875,12.296365737915039,24.369216918945312,1.0,29.895021438598633,14.20677661895752,29.063173294067383,0.9385964870452881,,,,,,,,,,,,,,,,
16,135,,,,,,,,,,,,,,,,,25.790462493896484,12.43662166595459,24.95696449279785,0.9713603854179382,29.06689453125,13.616436004638672,28.233444213867188,0.9552000164985657,23.241409301757812,11.116052627563477,22.407814025878906,0.9305555820465088,29.464380264282227,13.765996932983398,28.630937576293945,0.9540917873382568
16,135,22.02837371826172,11.202446937561035,21.196571350097656,1.0,28.942060470581055,13.819172859191895,28.109006881713867,0.9440000057220459,26.42916488647461,12.362564086914062,25.60045051574707,1.0,29.531963348388672,14.051312446594238,28.6987361907959,0.9385964870452881,,,,,,,,,,,,,,,,
17,143,,,,,,,,,,,,,,,,,24.902690887451172,12.736309051513672,24.069286346435547,0.9761336445808411,28.145750045776367,13.998680114746094,27.312362670898438,0.9598000049591064,22.439350128173828,11.34475040435791,21.605831146240234,0.9166666865348816,28.538232803344727,14.158369064331055,27.704864501953125,0.9589709639549255
17,143,22.329708099365234,11.074697494506836,21.495574951171875,1.0,28.93012237548828,13.739611625671387,28.09758186340332,0.9520000219345093,30.93985366821289,13.3984375,30.10601806640625,1.0,29.41594696044922,13.955986022949219,28.583555221557617,0.9473684430122375,,,,,,,,,,,,,,,,
18,151,,,,,,,,,,,,,,,,,23.781103134155273,13.19152545928955,22.947750091552734,0.9809069037437439,27.54177474975586,14.507335662841797,26.708425521850586,0.9628000259399414,21.357378005981445,11.704402923583984,20.52391242980957,0.9166666865348816,27.989980697631836,14.674365043640137,27.156646728515625,0.9618540406227112
18,151,24.26702117919922,11.165407180786133,23.434038162231445,0.8888888955116272,29.811782836914062,13.553966522216797,28.97890281677246,0.9599999785423279,31.54993438720703,13.576091766357422,30.714046478271484,1.0,30.219032287597656,13.742151260375977,29.386215209960938,0.9649122953414917,,,,,,,,,,,,,,,,
19,159,,,,,,,,,,,,,,,,,23.98723793029785,13.051444053649902,23.153884887695312,0.9832935333251953,27.711715698242188,14.171818733215332,26.878372192382812,0.9620000123977661,21.028350830078125,11.345273971557617,20.194965362548828,0.8888888955116272,28.16452407836914,14.321064949035645,27.331195831298828,0.9611887335777283
19,159,20.731670379638672,11.114775657653809,19.89789581298828,0.8888888955116272,27.948448181152344,13.852252960205078,27.114831924438477,0.9279999732971191,21.544645309448242,12.357019424438477,20.7158203125,1.0,28.630542755126953,14.094602584838867,27.796855926513672,0.9298245906829834,,,,,,,,,,,,,,,,
